ORDER,DISTRICT,CONSTITUENCY,SUB COUNTY,PARISH,STATION,REG VOTERS,ABED  BWANIKA,AMAMA  MBABAZI,BARYAMUREEBA  VENANSIUS,BENON  BUTA BIRAARO,KIZZA  BESIGYE KIFEFE,MABIRIZI  JOSEPH,MAUREEN  FAITH KYALYA WALUUBE,YOWERI  KAGUTA MUSEVENI,VALID VOTES,INVALID VOTES,TOTAL VOTES
12,001 APAC,002 KWANIA COUNTY,001 ADUKU,008 ABOKO,01 AORA,529,3,7,7,0,89,0,0,290,396,21,417
13,001 APAC,002 KWANIA COUNTY,001 ADUKU,008 ABOKO,02 AMIA P.7 SCHOOL,836,7,3,5,2,188,4,2,342,553,0,553
14,001 APAC,002 KWANIA COUNTY,001 ADUKU,008 ABOKO,03 ODEO CORNER,786,0,2,5,1,201,2,1,298,510,34,544
15,001 APAC,002 KWANIA COUNTY,001 ADUKU,008 ABOKO,04 ABOKO PRI. SCHOOL,681,2,1,7,1,189,1,2,241,444,15,459
16,001 APAC,002 KWANIA COUNTY,001 ADUKU,008 ABOKO,05 WIGWENG,556,4,3,5,2,94,2,3,258,371,29,400
17,001 APAC,002 KWANIA COUNTY,001 ADUKU,008 ABOKO,06 ALEBE,490,3,2,3,1,130,2,3,199,343,21,364
18,001 APAC,002 KWANIA COUNTY,001 ADUKU,025 APIRE,01 APIRE P.7 SCHOOL A,483,2,8,0,0,106,1,1,205,323,15,338
19,001 APAC,002 KWANIA COUNTY,001 ADUKU,025 APIRE,02 ANGOLENYANG,855,9,1,4,0,204,5,3,316,542,57,599
20,001 APAC,002 KWANIA COUNTY,001 ADUKU,025 APIRE,03 ACUT,734,4,6,6,1,234,2,2,255,510,7,517
21,001 APAC,002 KWANIA COUNTY,001 ADUKU,025 APIRE,04 APIRE P.7 SCHOOL B,493,2,3,8,0,118,2,3,227,363,12,375
22,001 APAC,002 KWANIA COUNTY,002 CAWENTE,016 ATONGTIDI,01 CHAWENTE PRIMARY SCHOOL,465,4,6,1,1,94,0,1,209,316,19,335
23,001 APAC,002 KWANIA COUNTY,002 CAWENTE,016 ATONGTIDI,02 AMWANGA P.7 SCHOOL,890,4,5,7,1,163,1,3,423,607,18,625
24,001 APAC,002 KWANIA COUNTY,002 CAWENTE,016 ATONGTIDI,03 CHAWENTE S S,523,5,2,4,1,99,2,2,243,358,3,361
25,001 APAC,002 KWANIA COUNTY,002 CAWENTE,016 ATONGTIDI,05 ACAMANUMU CORNER DAIRY,347,5,0,0,1,77,1,3,171,258,10,268
26,001 APAC,002 KWANIA COUNTY,002 CAWENTE,017 ACENLWORO,01 GOI PRIMARY SCHOOL,668,15,8,5,4,144,2,3,193,374,76,450
27,001 APAC,002 KWANIA COUNTY,002 CAWENTE,017 ACENLWORO,02 APWORI HEALTH CENTRE III,733,14,8,6,1,130,3,3,302,467,36,503
28,001 APAC,002 KWANIA COUNTY,002 CAWENTE,017 ACENLWORO,03 WIGWENG B NURSERY SCHOOL,394,2,4,2,0,66,0,2,202,278,13,291
29,001 APAC,002 KWANIA COUNTY,002 CAWENTE,017 ACENLWORO,04 BAR ORYANG CHURCH OF UGANDA,561,2,1,1,0,94,2,1,291,392,21,413
30,001 APAC,002 KWANIA COUNTY,002 CAWENTE,018 ATULE,01 BODA P.7 SCHOOL,838,11,6,10,4,344,3,4,156,538,25,563
31,001 APAC,002 KWANIA COUNTY,002 CAWENTE,018 ATULE,02 ABAPIRI P 7 SCHOOL,890,7,9,4,3,185,4,6,347,565,11,576
32,001 APAC,002 KWANIA COUNTY,002 CAWENTE,018 ATULE,03 ATULE P.7 SCHOOL,396,4,3,1,2,91,1,3,149,254,6,260
33,001 APAC,002 KWANIA COUNTY,002 CAWENTE,019 ALIDO,01 CHAWENTE SUB-COUNTY HQRTS,584,5,5,2,1,132,0,2,254,401,24,425
34,001 APAC,002 KWANIA COUNTY,002 CAWENTE,019 ALIDO,02 ABOLI MARKET,843,7,13,5,3,206,2,1,271,508,39,547
35,001 APAC,002 KWANIA COUNTY,002 CAWENTE,019 ALIDO,03 ALAKET PRIMARY SCHOOL,494,1,7,0,2,133,0,1,212,356,6,362
36,001 APAC,002 KWANIA COUNTY,002 CAWENTE,019 ALIDO,04 ALIDO,345,0,1,0,0,81,0,2,146,230,3,233
37,001 APAC,002 KWANIA COUNTY,002 CAWENTE,028 AJAR,01 APOLIKA PRIMARY SCHOOL,597,5,7,9,1,170,3,4,209,408,27,435
38,001 APAC,002 KWANIA COUNTY,002 CAWENTE,028 AJAR,02 BLUE CORNER NURSERY SCHOOL,703,6,12,6,3,171,2,2,286,488,26,514
39,001 APAC,002 KWANIA COUNTY,002 CAWENTE,028 AJAR,03 PONGA MARKET,510,12,8,3,1,124,3,1,161,313,15,328
40,001 APAC,002 KWANIA COUNTY,002 CAWENTE,028 AJAR,04 OBOLOCANI CHURCH OF UGANDA,325,3,4,0,2,79,1,3,117,209,4,213
41,001 APAC,002 KWANIA COUNTY,002 CAWENTE,034 IWAL,01 AYEI CHURCH,746,10,16,8,6,128,3,3,344,518,17,535
42,001 APAC,002 KWANIA COUNTY,002 CAWENTE,034 IWAL,02 AGOLOWELO P/S,749,9,12,8,6,178,5,3,287,508,18,526
43,001 APAC,002 KWANIA COUNTY,002 CAWENTE,034 IWAL,03 ADWONGOWIRI CHURCH,383,5,2,1,1,58,1,4,185,257,10,267
44,001 APAC,002 KWANIA COUNTY,003 INOMO,020 BANYA,01 AKOREMOR P.7 SCHOOL,743,7,2,3,2,281,10,2,209,516,11,527
45,001 APAC,002 KWANIA COUNTY,003 INOMO,020 BANYA,02 AKUTOABWOLE,857,11,2,7,4,305,5,6,237,577,22,599
46,001 APAC,002 KWANIA COUNTY,003 INOMO,021 AGWICIRI,01 ALERO,815,6,15,6,3,242,4,2,252,530,35,565
47,001 APAC,002 KWANIA COUNTY,003 INOMO,021 AGWICIRI,02 APUMI,867,5,5,7,2,206,1,3,291,520,17,537
48,001 APAC,002 KWANIA COUNTY,003 INOMO,021 AGWICIRI,03 ANYWAL,505,2,1,1,0,244,0,0,80,328,28,356
49,001 APAC,002 KWANIA COUNTY,003 INOMO,021 AGWICIRI,04 ACOWERE,340,4,3,1,0,105,1,1,107,222,17,239
50,001 APAC,002 KWANIA COUNTY,003 INOMO,022 ABEDMOT,01 WII-GWENG,831,4,22,3,1,232,3,1,310,576,21,597
51,001 APAC,002 KWANIA COUNTY,003 INOMO,022 ABEDMOT,02 AMAMBALE,846,1,1,1,0,124,2,2,385,516,6,522
52,001 APAC,002 KWANIA COUNTY,003 INOMO,022 ABEDMOT,03 TIMAKICA MARKET,438,4,0,3,0,122,0,1,169,299,20,319
53,001 APAC,002 KWANIA COUNTY,003 INOMO,023 AJOK,01 AGONGA,806,7,10,6,2,192,3,2,219,441,59,500
54,001 APAC,002 KWANIA COUNTY,003 INOMO,023 AJOK,02 LWALA,519,6,3,3,0,112,1,0,226,351,23,374
55,001 APAC,002 KWANIA COUNTY,003 INOMO,023 AJOK,03 BARO-POK,715,5,6,3,2,207,2,2,244,471,20,491
56,001 APAC,002 KWANIA COUNTY,003 INOMO,023 AJOK,04 ST. JANAN LOUM C.O.U,428,4,2,2,1,98,2,5,166,280,5,285
57,001 APAC,002 KWANIA COUNTY,003 INOMO,023 AJOK,05 FARM,535,2,5,1,2,121,4,0,212,347,20,367
58,001 APAC,002 KWANIA COUNTY,003 INOMO,024 INOMO,01 APIREMIT,795,3,7,5,2,147,1,3,298,466,35,501
59,001 APAC,002 KWANIA COUNTY,003 INOMO,024 INOMO,02 BARLWALA,832,4,11,5,0,276,2,3,263,564,13,577
60,001 APAC,002 KWANIA COUNTY,003 INOMO,024 INOMO,03 BAROKANGO,452,3,7,1,0,123,1,0,122,257,23,280
61,001 APAC,002 KWANIA COUNTY,003 INOMO,029 ALUKA,01 ALIKINGEL,738,3,7,6,1,226,3,1,233,480,24,504
62,001 APAC,002 KWANIA COUNTY,003 INOMO,029 ALUKA,02 ALIK P.7 SCHOOL A,448,3,4,2,0,123,0,1,153,286,8,294
63,001 APAC,002 KWANIA COUNTY,003 INOMO,029 ALUKA,03 ALAM,411,3,7,3,0,113,0,2,148,276,23,299
64,001 APAC,002 KWANIA COUNTY,003 INOMO,029 ALUKA,04 ALIK P.7 SCHOOL B,540,6,10,3,0,116,3,2,190,330,8,338
65,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,009 OWINY,01 OWINY,859,4,5,3,1,233,1,2,375,624,17,641
66,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,009 OWINY,02 IGOTI/ACULAWIC,579,5,4,1,2,204,4,1,196,417,23,440
67,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,009 OWINY,03 ACWAO,297,5,6,2,0,103,1,0,113,230,4,234
68,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,009 OWINY,04 OBALONGWEN,270,1,3,0,0,109,0,0,90,203,2,205
69,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,010 AYABI,01 AYABI TRADING CENTRE A,410,1,2,0,0,92,1,1,197,294,8,302
70,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,010 AYABI,02 AYABI P.7 SCHOOL,815,1,4,2,0,239,0,2,320,568,29,597
71,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,010 AYABI,03 AYABI TRADING CENTRE B,533,1,2,0,0,180,2,0,218,403,5,408
72,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,011 AORNGA,02 NAMBIESO PRIMARY SCHOOL,774,3,1,1,1,190,0,0,336,532,18,550
73,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,011 AORNGA,03 OKWOR P.7 SCHOOL,671,4,3,5,1,90,2,1,307,413,14,427
74,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,011 AORNGA,04 EGWOR,627,3,1,0,0,89,3,0,300,396,27,423
75,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,012 ANWANGI,01 ORIYE A,808,8,5,3,1,159,0,2,305,483,51,534
76,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,012 ANWANGI,02 EMINA,825,6,7,5,0,132,2,2,390,544,9,553
77,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,012 ANWANGI,03 ANGEOKOMA,256,2,2,0,0,40,1,0,114,159,2,161
78,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,012 ANWANGI,04 AYAT,609,6,7,4,2,80,0,0,322,421,7,428
79,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,012 ANWANGI,05 TEILIGO,462,2,2,1,2,83,0,0,245,335,5,340
80,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,013 ABULI,01 ODALOWANG/OMWONO,673,8,8,1,1,182,2,0,251,453,13,466
81,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,013 ABULI,02 ABULI PRIMARY SCHOOL,598,2,6,1,1,182,1,2,201,396,5,401
82,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,013 ABULI,03 OJOK BER IDWOGO,345,0,3,1,2,93,1,0,138,238,4,242
83,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,013 ABULI,04 ANGUKAI,334,1,1,2,1,111,1,1,112,230,5,235
84,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,014 BUNG,01 OKIK PRIMARY SCHOOL,792,6,0,5,1,140,1,1,334,488,0,488
85,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,014 BUNG,02 AYOMLWOR,799,6,15,7,3,183,5,1,348,568,37,605
86,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,014 BUNG,03 BAR BUNG,651,3,5,7,1,147,2,1,231,397,22,419
87,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,015 ACABA,01 AGENGI A,547,1,3,2,1,74,0,1,338,420,12,432
88,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,015 ACABA,02 OKELKUC,826,1,5,4,0,153,0,2,337,502,11,513
89,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,015 ACABA,03 AGWEI T.C,676,5,3,2,1,159,1,0,282,453,19,472
90,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,027 ETEKIBER,01 ABURO-KEC,839,8,10,6,1,154,6,0,309,494,64,558
91,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,027 ETEKIBER,02 ODYEDO,622,2,5,2,0,136,0,0,257,402,28,430
92,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,027 ETEKIBER,03 ETEKIBER,705,4,8,6,1,132,4,1,292,448,31,479
93,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,032 PUNUATAR,01 APIIBOR PRIMARY SCHOOL,689,2,3,4,2,218,1,0,187,417,26,443
94,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,032 PUNUATAR,02 WIGWENG,364,1,2,0,0,126,2,1,141,273,9,282
95,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,033 OGWIL,01 OGWIL P.7 SCHOOL,498,4,5,5,1,173,1,1,177,367,17,384
96,001 APAC,002 KWANIA COUNTY,004 NAMBIESO,033 OGWIL,02 AGWENG,485,1,0,1,0,160,1,0,198,361,4,365
97,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,003 AKALI,01 ALEL,564,8,5,3,3,150,4,2,219,394,36,430
98,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,003 AKALI,02 TELELA P.7 SCHOOL,756,1,2,1,2,231,0,3,282,522,12,534
99,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,003 AKALI,04 OLOK MARKET,486,1,2,0,1,143,1,0,197,345,42,387
100,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,004 ABWONG,02 ABWONG P.7 SCHOOL,570,3,7,4,2,146,5,1,224,392,25,417
101,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,004 ABWONG,04 TEILWA,773,0,3,3,1,125,3,1,396,532,23,555
102,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,005 ACUNGI,01 ACOININO CATHOLIC CHURCH,453,2,4,3,0,98,2,2,168,279,15,294
103,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,005 ACUNGI,02 ABONGOMOLA H/C III,730,11,7,1,0,152,3,3,296,473,23,496
104,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,005 ACUNGI,03 ACUNGI P.7 SCHOOL,317,4,3,0,0,65,0,0,140,212,4,216
105,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,005 ACUNGI,04 ABONGOMOLA,878,4,4,5,3,176,5,3,375,575,23,598
106,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,006 ABANY,01 ANGULE ST. JOHN,275,6,6,3,0,58,1,0,123,197,4,201
107,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,006 ABANY,02 AWEI,759,0,0,0,0,0,0,0,0,0,0,0
108,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,006 ABANY,03 ABANY MARKET,869,8,4,6,5,163,0,3,422,611,19,630
109,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,026 AMORIGOGA,01 AMORIGOGA P.7 SCHOOL,770,15,9,4,1,191,5,6,279,510,8,518
110,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,026 AMORIGOGA,02 ACOININO P 7 SCHOOL,503,3,5,9,4,105,3,3,217,349,17,366
111,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,026 AMORIGOGA,03 TEYAO,490,4,4,1,2,168,1,3,160,343,15,358
112,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,026 AMORIGOGA,04 OWERA MARKET,488,2,5,4,2,137,2,0,209,361,13,374
113,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,026 AMORIGOGA,05 ABEDOBER,453,8,13,2,3,168,3,3,147,347,13,360
114,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,035 AGWA,01 APIDYANG B,252,5,3,0,0,44,1,2,107,162,18,180
115,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,035 AGWA,02 OLIO PAG CHURCH,419,3,11,3,3,79,0,2,182,283,30,313
116,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,035 AGWA,03 AGWA P.7 SCHOOL,866,4,9,4,1,144,4,4,380,550,30,580
117,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,036 ADEROLONGO,01 ADELORONGO P.7 SCHOOL,599,3,4,4,1,90,1,4,292,399,17,416
118,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,036 ADEROLONGO,02 APOROTUKU P7 SCHOOL,550,11,12,2,1,96,14,8,216,360,37,397
119,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,037 TEIORO,01 TEI-ORO,658,7,2,4,2,133,4,1,273,426,19,445
120,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,037 TEIORO,02 ONYONG,404,1,2,4,1,62,0,1,177,248,44,292
121,001 APAC,002 KWANIA COUNTY,005 ABONGOMOLA,037 TEIORO,03 APARI MARKET,322,3,2,2,1,71,0,3,112,194,12,206
122,001 APAC,002 KWANIA COUNTY,006 ADUKU TOWN COUNCIL,030 TEDUKA WARD,01 ADUKU U.C.C.,739,1,1,2,0,234,0,1,224,463,27,490
123,001 APAC,002 KWANIA COUNTY,006 ADUKU TOWN COUNCIL,030 TEDUKA WARD,02 OT-OGOLE,587,3,2,1,0,148,1,2,275,432,11,443
124,001 APAC,002 KWANIA COUNTY,006 ADUKU TOWN COUNCIL,030 TEDUKA WARD,03 ADYEDA TRADING CENTRE,464,5,3,2,2,119,3,1,164,299,30,329
125,001 APAC,002 KWANIA COUNTY,006 ADUKU TOWN COUNCIL,030 TEDUKA WARD,04 ADUKU S.S.S.,402,1,1,1,0,131,1,1,150,286,6,292
126,001 APAC,002 KWANIA COUNTY,006 ADUKU TOWN COUNCIL,031 IKWERA WARD,01 IKWERA,657,2,1,2,0,220,0,3,200,428,9,437
127,001 APAC,002 KWANIA COUNTY,006 ADUKU TOWN COUNCIL,031 IKWERA WARD,02 AKAIDEBE,497,2,2,6,0,151,2,1,164,328,7,335
128,001 APAC,003 MARUZI COUNTY,001 AKOKORO,001 AYAGO,01 AYUMI P.7 SCHOOL,579,3,4,5,1,206,1,1,182,403,26,429
129,001 APAC,003 MARUZI COUNTY,001 AKOKORO,001 AYAGO,02 ABONGOKONGO P.7 SCHOOL,272,0,1,2,0,44,0,0,168,215,4,219
130,001 APAC,003 MARUZI COUNTY,001 AKOKORO,001 AYAGO,03 AYAGO P 7 SCHOOL,875,7,7,4,2,143,4,2,416,585,24,609
131,001 APAC,003 MARUZI COUNTY,001 AKOKORO,001 AYAGO,04 AYENG,262,1,2,3,0,39,0,0,157,202,3,205
132,001 APAC,003 MARUZI COUNTY,001 AKOKORO,002 APOI,01 ONYANY P.7 SCHOOL,508,6,6,6,2,126,0,1,184,331,23,354
133,001 APAC,003 MARUZI COUNTY,001 AKOKORO,002 APOI,04 APALAMIO,263,2,0,4,1,72,1,1,73,154,14,168
134,001 APAC,003 MARUZI COUNTY,001 AKOKORO,002 APOI,05 APOI P.7 SCHOOL,878,4,9,11,3,239,3,2,269,540,39,579
135,001 APAC,003 MARUZI COUNTY,001 AKOKORO,003 AKOKORO,01 ALUGA P.7 SCHOOL,849,6,4,12,2,167,1,5,398,595,20,615
136,001 APAC,003 MARUZI COUNTY,001 AKOKORO,003 AKOKORO,02 AKOKORO S.S.S.,884,9,10,10,0,237,1,7,287,561,28,589
137,001 APAC,003 MARUZI COUNTY,001 AKOKORO,004 AWILA,01 AWILA P.7 SCHOOL,605,6,5,3,1,123,1,2,265,406,11,417
138,001 APAC,003 MARUZI COUNTY,001 AKOKORO,004 AWILA,02 ATEK CENTRAL MARKET,846,13,3,11,1,279,5,2,247,561,30,591
139,001 APAC,003 MARUZI COUNTY,001 AKOKORO,004 AWILA,03 AWILA CATHOLIC CHURCH,337,4,2,3,0,69,0,1,125,204,10,214
140,001 APAC,003 MARUZI COUNTY,001 AKOKORO,004 AWILA,04 IDEP P7 SCHOOL,329,2,1,4,0,104,1,0,118,230,9,239
141,001 APAC,003 MARUZI COUNTY,001 AKOKORO,005 AYEOLYEC,01 KWIBALE P.7 SCHOOL,769,5,4,8,7,306,1,4,198,533,15,548
142,001 APAC,003 MARUZI COUNTY,001 AKOKORO,005 AYEOLYEC,02 AYEI A,536,1,6,6,1,142,0,2,128,286,40,326
143,001 APAC,003 MARUZI COUNTY,001 AKOKORO,005 AYEOLYEC,03 PABBO,139,1,0,1,0,36,0,1,34,73,13,86
144,001 APAC,003 MARUZI COUNTY,001 AKOKORO,005 AYEOLYEC,05 AYEI B,328,2,4,5,0,96,1,1,78,187,24,211
145,001 APAC,003 MARUZI COUNTY,001 AKOKORO,005 AYEOLYEC,06 KWIBALE MARKET,877,2,11,6,5,154,1,1,252,432,58,490
146,001 APAC,003 MARUZI COUNTY,001 AKOKORO,006 KUNGU,01 KUNGU P.7 SCHOOL A,504,4,4,12,0,118,0,0,187,325,13,338
147,001 APAC,003 MARUZI COUNTY,001 AKOKORO,006 KUNGU,02 ACHOLI INN,437,3,5,2,1,65,1,1,155,233,11,244
148,001 APAC,003 MARUZI COUNTY,001 AKOKORO,006 KUNGU,03 IGULU,348,7,1,2,1,76,1,0,143,231,0,231
149,001 APAC,003 MARUZI COUNTY,001 AKOKORO,006 KUNGU,04 KUNGU P.7 SCHOOL B,638,2,5,6,2,201,4,2,186,408,41,449
150,001 APAC,003 MARUZI COUNTY,001 AKOKORO,024 ALARO,01 WANSOLO FISHING CAMP,434,8,1,4,0,178,1,2,67,261,15,276
151,001 APAC,003 MARUZI COUNTY,001 AKOKORO,024 ALARO,02 ALARO P.7 SCHOOL A,595,7,7,12,4,143,0,2,192,367,5,372
152,001 APAC,003 MARUZI COUNTY,001 AKOKORO,024 ALARO,03 BAROKWORO P.7 SCHOOL,639,10,13,15,4,155,4,5,201,407,0,407
153,001 APAC,003 MARUZI COUNTY,001 AKOKORO,024 ALARO,04 CORNER BALE,199,10,1,11,1,62,0,1,32,118,27,145
154,001 APAC,003 MARUZI COUNTY,001 AKOKORO,024 ALARO,05 KIGA LANDING SITE,376,3,6,5,1,106,1,0,97,219,10,229
155,001 APAC,003 MARUZI COUNTY,001 AKOKORO,024 ALARO,06 ALARO P.7 SCHOOL B,579,10,7,13,3,81,0,1,226,341,16,357
156,001 APAC,003 MARUZI COUNTY,001 AKOKORO,027 AMUN,01 AMUN P.7 SCHOOL,420,4,4,0,1,103,0,0,165,277,20,297
157,001 APAC,003 MARUZI COUNTY,001 AKOKORO,027 AMUN,02 AMUN TRADING CENTER,520,11,5,11,3,140,5,9,187,371,13,384
158,001 APAC,003 MARUZI COUNTY,001 AKOKORO,027 AMUN,03 AMUN CHURCH OF UGANDA,596,7,4,8,4,136,3,0,248,410,13,423
159,001 APAC,003 MARUZI COUNTY,002 APAC,007 ATIK,01 OWANG PRIMARY,661,6,6,5,2,218,1,3,191,432,10,442
160,001 APAC,003 MARUZI COUNTY,002 APAC,007 ATIK,02 BARDEK,817,15,6,13,4,275,2,3,260,578,15,593
161,001 APAC,003 MARUZI COUNTY,002 APAC,007 ATIK,03 MATIMI AMOR,792,17,12,20,2,311,4,7,150,523,26,549
162,001 APAC,003 MARUZI COUNTY,002 APAC,007 ATIK,04 AWIRI,851,10,9,6,2,258,3,2,255,545,27,572
163,001 APAC,003 MARUZI COUNTY,002 APAC,007 ATIK,05 AWIRI PRI. SCHOOL,654,6,4,7,3,222,3,4,149,398,13,411
164,001 APAC,003 MARUZI COUNTY,002 APAC,007 ATIK,06 ABONGO OKERE,392,2,2,3,0,117,0,5,119,248,6,254
165,001 APAC,003 MARUZI COUNTY,002 APAC,007 ATIK,07 OWANG T/C BOREHOLE,574,4,3,5,1,238,0,0,117,368,7,375
166,001 APAC,003 MARUZI COUNTY,002 APAC,008 ATOPI,01 ATOPI PRIMARY SCHOOL,751,4,4,13,7,137,3,4,273,445,47,492
167,001 APAC,003 MARUZI COUNTY,002 APAC,008 ATOPI,02 ALYEC MARKET,641,10,4,16,3,195,2,6,178,414,29,443
168,001 APAC,003 MARUZI COUNTY,002 APAC,008 ATOPI,03 ANYAI MARKET,677,10,14,10,1,189,1,4,220,449,9,458
169,001 APAC,003 MARUZI COUNTY,002 APAC,008 ATOPI,04 AYERA BOREHOLE,388,2,2,6,3,121,1,0,135,270,7,277
170,001 APAC,003 MARUZI COUNTY,002 APAC,008 ATOPI,05 ATOPI A BOREHOLE,748,3,6,4,1,244,0,4,219,481,21,502
171,001 APAC,003 MARUZI COUNTY,002 APAC,008 ATOPI,06 AKULI CORNER ADEK,622,4,6,7,4,132,2,0,218,373,13,386
172,001 APAC,003 MARUZI COUNTY,002 APAC,009 AKERE,01 ATUDU P7 SCHOOL,733,8,6,5,2,182,0,2,252,457,21,478
173,001 APAC,003 MARUZI COUNTY,002 APAC,009 AKERE,02 TEIBU P.A.G CHURCH,532,4,6,2,0,192,3,0,144,351,14,365
174,001 APAC,003 MARUZI COUNTY,002 APAC,009 AKERE,03 OLEL PEK P 7 SCHOOL,751,8,9,11,4,181,3,2,320,538,14,552
175,001 APAC,003 MARUZI COUNTY,002 APAC,009 AKERE,04 OGEI BOREHOLE,362,5,5,7,0,99,0,1,140,257,15,272
176,001 APAC,003 MARUZI COUNTY,002 APAC,009 AKERE,05 ANGAYIKI PRIMARY SCHOOL,719,7,12,11,1,246,4,4,206,491,24,515
177,001 APAC,003 MARUZI COUNTY,002 APAC,009 AKERE,06 ATUDU ANNEX P7 SCHOOL,644,5,1,2,1,190,0,3,243,445,45,490
178,001 APAC,003 MARUZI COUNTY,002 APAC,010 ATANA,01 AWIR P.7 SCHOOL,709,1,2,3,0,159,2,3,233,403,14,417
